id,title
8fPKY_NjPf8,A New Solution for Backups | Self-Hosted 43
TrxE5Ckp2EQ,Don't Panic | Self-Hosted 42
MymJWaAHEQY,The One with Jeff Geerling | Self-Hosted 41
JQOeLGOt5EA,Password Shaming | Self-Hosted 40
hyb2dEi-Tqc,We run Arch BTW | Self-Hosted 39
ErA_xR4YCHM,Practical Self-Hosting Tips | Self-Hosted 39
e4mL9c7tRWU,"Crouching Pi, Hidden Server | Self-Hosted 38"
Q9YnVbsG6Mk,Security Growing Pains | Self-Hosted 37
XRuQ98A-VW0,Google Docs Replacement | Self-Hosted 36
vjjO_w4WCXo,The Perfect Media Server | Self-Hosted 35
CWY-ZNQnAL4,Take Powerline Seriously | Self-Hosted 34
8d-RjrFVVyA,Helios64 Review | Self-Hosted 33
miGJEbX67HU,Google Turning the Screw | Self-Hosted 32
PctsQdIr0Jo,Industrial Grade Mobile Internet | Self-Hosted 31
z4C9YRPkQaU,Automation Entropy Factor | Self-Hosted 30
DkZIaxgwe1s,Perils of Self-Hosting | Self-Hosted 29
V2-9527h3N0,The Trouble with Docker | Self-Hosted 26
Hk5TvJjKG2A,Directing Traefik | Self-Hosted 28
HAyD6adWNkg,Picture Perfect | Self-Hosted 27
qHayVG4sRVo,The Future of Unraid | Self-Hosted 25
p9j7tlcf37A,OPNsense Makes Sense | Self-Hosted 24
VFObf4Cuopc,Shields Up | Self-Hosted 23
tbpc1G0VO6I,Slow Cooked Servers | Self-Hosted 22
Qpq5jbVJMaQ,The Perfect Server Build | Self-Hosted 21
-UbcjvPXSKo,One is None | Self-Hosted 20
D7nfn2uuVZk,The Open Source Catch-22 | Self-Hosted 19
bZIFpCF_-7A,Ring Doorbell Alternative | Self-Hosted 18
yQTl0p98as4,Where Do I Start? | Self-Hosted 17
hNMFCCDxczM,Compromised Networking | Self-Hosted 16
FE_qY5nl8j8,Keeping Track of Stuff | Self-Hosted 15
f7qmxibMUvI,jblive.tv live stream
esb6brgjo54,Embracing Automation | Self-Hosted 14
4hIOm4F8CGs,IRC is Not Dead | Self-Hosted 13
Bb2izqJK3kM,Which Wiki Wins | Self-Hosted 12
76m8lS9J38w,Host Your Blog the Right Way | Self-Hosted 11
qng-EJJSRW4,Compromised Cameras | Self-Hosted 10
p157uge0b2k,Conquering Planned Obsolescence | Self-Hosted 9
aQyigSkcjMQ,Cheap DIY LED Light Strip | Self-Hosted Live Hack
Gt8JvI4K_aY,WLED Changes the Game | Self-Hosted 8
aYRtsfDn3AQ,Why We Love Home Assistant | Self-Hosted 7
N9hCGUaZJzA,LINUX Unplugged Tuesday Live Stream
bbJ1KanVyDs,Self-Hosted Live Hack
jDQ3tU9Ooug,Low Cost Home Camera System | Self-Hosted 6
JEW7UuKhMJ8,ZFS Isn’t the Only Option | Self-Hosted 5
-NZZxy3fxy0,The Joy of Plex with Elan Feingold | Self-Hosted 4
cG_coFVLsGs,Home Network Under $200 | Self-Hosted 3
o1qxarQ2xsA,Home Network Under $200 | Self-Hosted 3
1OU3wwt7suk,Why Self-Host? | Self-Hosted 2
I9McT7rVc90,The First One | Self-Hosted 1
